type,queue,priority,language,tag_1,tag_2
Incident,General Inquiry,low,de,Crash,Technical
Request,Customer Service,medium,en,Feedback,Sales
Request,Customer Service,medium,en,Technical,Product
Incident,Customer Service,high,de,Security,Breach
Request,Customer Service,medium,en,Security,Customer
Request,Technical Support,medium,en,Security,Product
Request,Technical Support,medium,de,Backup,Security
Problem,IT Support,high,en,Technical,Integration
Problem,Product Support,high,de,Technical,Bug
Problem,Product Support,high,de,Bug,Performance
Problem,Technical Support,high,en,Technical,Outage
Incident,Technical Support,high,en,Technical,Bug
Request,Technical Support,medium,en,Customer,Strategy
Incident,Technical Support,low,en,Technical,Bug
Incident,Technical Support,high,en,Security,Network
Problem,Customer Service,low,en,Bug,Performance
Change,Product Support,low,en,Feature,IT
Problem,Technical Support,high,en,Bug,Crash
Incident,Customer Service,high,en,Breach,Security
Incident,Product Support,high,en,Security,Breach
Problem,Technical Support,medium,de,Tech Support,Performance
Change,IT Support,medium,en,Technical,Security
Request,Billing and Payments,medium,en,Security,Documentation
Incident,Technical Support,medium,en,Bug,Performance
Incident,Technical Support,medium,en,Technical,Performance
Incident,Technical Support,high,de,Security,Breach
Request,Customer Service,low,en,Security,Compliance
Request,Product Support,high,en,Technical,Customer
Request,Service Outages and Maintenance,high,en,Technical,Integration
Problem,Product Support,medium,de,Technical,Security
Incident,Billing and Payments,low,en,Billing,Technical
Incident,Technical Support,high,de,Technical,Network
Request,Technical Support,high,en,Technical,Integration
Change,Technical Support,high,en,Security,Customer
Request,Customer Service,low,en,Feedback,Sales
Incident,IT Support,medium,en,Crash,Performance
Request,IT Support,medium,en,Technical,Integration
Incident,Service Outages and Maintenance,high,de,Bug,Outage
Request,Technical Support,low,en,Feedback,Sales
Change,IT Support,medium,en,Feature,IT
Problem,IT Support,high,de,Technical,Network
Incident,IT Support,low,en,Technical,Bug
Problem,IT Support,high,en,Performance,Bug
Problem,Billing and Payments,high,en,Security,IT
Incident,Customer Service,low,en,Security,Virus
Request,Billing and Payments,low,de,Billing,Payment
Change,IT Support,medium,en,Feature,Performance
Incident,Customer Service,medium,de,Bug,Performance
Request,Product Support,high,en,Network,Security
Incident,Technical Support,low,de,Performance,Disruption
Incident,IT Support,medium,en,Technical,Hardware
Incident,Technical Support,medium,en,Outage,Performance
Request,Customer Service,medium,en,Digital,Strategy
Request,Billing and Payments,high,en,Billing,Payment
Incident,Technical Support,low,en,Technical,Customer
Incident,Human Resources,medium,en,Bug,Performance
Incident,Technical Support,high,en,Bug,Performance
Problem,Product Support,medium,de,Technical,Bug
Request,Technical Support,medium,de,Feedback,Sales
Incident,Technical Support,medium,de,IT,Tech Support
Request,Technical Support,medium,de,Technical,Software
Request,Customer Service,high,en,Technical,Product
Incident,Technical Support,high,en,Bug,Performance
Incident,Returns and Exchanges,medium,de,Feature,Feedback
Change,Technical Support,high,de,Customer,Product
Incident,Customer Service,low,de,Technical,Product
Incident,Technical Support,low,en,Technical,Campaign
Incident,Product Support,medium,en,Bug,Performance
Request,Billing and Payments,medium,de,Technical,Security
Problem,IT Support,medium,en,Technical,Security
